1288	I just don't know what to say.	513737	من فقط نمی دانم چه بگویم.
1294	Education in this world disappoints me.	513749	آموزش در جهان من را نا امید کرده است.
1312	I'm going to go.	717587	می خواهم بروم.
1329	Hurry up.	510489	عجله کن!
1356	This is always the way it has been.	563961	کارها همیشه به این قرار بود.
1427	No, he's not my new boyfriend.	739870	نه، او دوست‌پسر جدید من نیست.
1434	I love you.	516949	عاشقتم
1434	I love you.	559032	من ترا دوست دارم.
1434	I love you.	1810629	من عشق تو هستم.
1435	I don't like you anymore.	778458	من دیگر تو را دوست ندارم.
1482	I don't speak Japanese.	554314	من ژاپنی صحبت نمی‌کنم.
1484	Nobody understands me.	554316	هیچکس مرا درک نمی‌کند.
1485	I learned to live without her.	554317	یاد گرفتم که بدون او زندگی کنم.
1486	It's useless to keep on thinking any more.	554320	فکر کردن دیگر فایده‌ای ندارد.
1487	I have too many things on my mind these days.	554321	این روزها افکار زیادی در سر دارم.
1488	I just wanted to check my email.	554322	فقط می‌خواستم ایمیلم را چک کنم.
1489	Do you really need to ask the question to know the answer?	554343	آیا برای فهمیدن جواب حتماً باید سؤال بپرسی؟
1490	You can't expect me to always think of everything!	554344	نباید همیشه انتظار داشته باشی که من فکر همه چیز را بکنم!
1491	I suppose that behind each thing we have to do, there's something we want to do...	554346	به نظر من، در ورای هر چیزی که مجبور به انجام دادنش هستیم، چیزی هست که مایل به انجام آن هستیم…
1492	You really don't have the right priorities!	554347	شما واقعاً واجد اولویت‌های مناسب نیستید!
1493	Don't expect others to think for you!	554348	انتظار نداشته باشید که دیگران به جای شما فکر کنند!
1494	You never have time for important things!	554349	تو هیچگاه برای چیزهای مهم وقت نداری!
1508	"What's going on in the cave? I'm curious." "I have no idea."	916272	" در این غار چه می گذرد؟ من کنجکاو هستم." "من هیچ حدسی نمی زنم."
1518	"Thank you for helping me." "Don't mention it."	916197	"ممنون برای کمکتان." "قابلی نداشت."
1590	Do you speak Italian?	786210	ایتالیایی صحبت می‌کنی؟
1684	If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	916192	اگر تو نمی خواهی ضد آفتاب بزنی مشکل خودت است. پس دیگر از آفتاب سوختگی پیش من شکایت نکن.
1819	You did this intentionally!	2195746	از قصد این کار رو کردی.
1831	I can't cut my nails and do the ironing at the same time!	674425	من قادر نیستم همزمان ناخن هایم را کوتاه کنم و اتو بزنم!
1852	What is your greatest source of inspiration?	849099	منبع بزرگ الهام گرفتنت چیست؟
1866	People who love doubt nothing, or doubt everything.	667828	مردم دوست دارند یا به هیچ چیز شک نکنند یا به همه چیز شک کنند.
2037	You had plenty of time.	805133	تو وقت زیادی داشتی.
2066	What are you talking about?	672774	درباره چه حرف می زنید؟
2192	You have been thinking about this problem the whole morning. Take a break; go eat lunch.	848156	تو روی این مسئله تمام صبح فکر کرده ای. استراحتی کن و ناهار بخور.
2219	Open the cupboard to the left, the bottles are in there.	2369970	در سمت راست قفسه را باز کن.بطری ها در آنجا قرار دارند
2222	I suggest that we go out on Friday.	2441172	من پیشنهاد می کنم جمعه بیرون برویم.
2249	I need your advice.	610698	من به مشوت شما احتیاج دارم.
2271	Death is only a horizon, and a horizon is nothing save the limit of our sight.	786262	مرگ تنها یک افق است؛ و افق چیزی بیش از حد دید ما نیست.
2277	Until you make peace with who you are, you'll never be content with what you have.	2095037	تا زمانی که با خود، سازش نکرده ای، هرگز نسبت به آنچه که داری، راضی نخواهی شد.
2348	The early bird catches the worm.	2165592	زود بری بهتر گیرت میاد
2394	It was raining when we left, but by the time we arrived, it was sunny.	704974	وقتی که بیرون آمدیم باران می آمد، اما حدود زمانی که رسیدیم آفتابی بود.
2409	I went to drink a beer with friends.	667978	من برای نوشیدن آبجو با دوستانم بیرون رفتم.
2438	The film started at 2 o'clock.	1903695	فیلم ساعت دو شروع شد.
6019	I work even on Sunday.	1486332	من حتی روزهای یکشنبه هم کار می کنم.
9602	Are you not tired?	644162	آیا خسته نیستی؟
15830	You should tell him the truth.	1440449	شما باید حقیقت را به او بگویید
15863	You should work hard.	848076	تو باید سخت کار کنی.
16029	Do you know how to use a dictionary?	1758603	آیا بلدید چگونه از لغت نامه استفاده کنید؟
16107	Your hair wants cutting.	667746	بایست موهایت کوتاه شوند.
16292	Can you make yourself understood in English?	773800	می‌توانید به زبان انگلیسی منظورتان را بفهمانید؟
16301	You can't swim, can you?	1601522	نمی توانی شنا کنی، می تونی؟
16491	How about you?	1005079	تو چطور؟
16500	Why did you say such a thing?	667982	برای چه چنین چیزی گفتی؟
16536	You are old enough to know better than to act like that.	960932	تو آنقدر بزرگ شده ای که بدانی بهتر از آن باید رفتار کنی.
16659	You're forever making mistakes.	654632	تو به طور مکرر اشتباه می کنی.
16739	You should ask your father for his advice and follow it.	764831	تو باید از پدرت راهنمایی بخواهی و به آن عمل کنی.
17013	Go back to your seat.	1558419	به صندلی خود برگرد.
17103	Is your watch correct?	588612	آیا ساعتت درست است؟
17116	Just follow your heart.	752374	به سادگی از قلبت پیروی کن.
17212	I think you're right.	752269	فکر می کنم حق با توست.
17532	I expect you know all about it.	944991	انتظار دارم همه چیز را راجع به آن بدانی.
17568	I'll treat you.	588439	من از تو مراقبت خواهم کرد..
17596	I as well as you am to blame.	2179056	منم به اندازه تو مقصر هستم.
17606	It is hard to distinguish you from your brother.	509650	تشخیص دادن تو از برادرت دشوار است.
17622	I would prefer to speak to you in private.	756739	من ترجیح می دادم که به طور خصوصی با شما سخن بگویم.
17642	All of you did good work.	1569557	کار همه‌تان خوب بود.
17849	Nothing is so tasty as the dish you make.	624505	هیچ چیزی به اندازه ی غذایی که درست می کنی خوشمزه نیست.
17897	I do not for a moment think you are wrong.	2179053	حتی برای یک لحظه فکر نمی کنم که اشتباه می کنی.
18055	We will miss you badly.	773838	بدجوری دلمان برایت تنگ خواهد شد.
18057	It is because you work too much that you are sleepy all the time.	666602	به این دلیل که تو بسیار کار می کنی، همیشه خواب آلود هستی.
18088	Are my socks dry already?	666613	آیا جوراب هایم خشک شده اند؟
18235	Air is a mixture of gases.	866474	هوا مخلوطی از گازها است.
18328	Many stars were shining in the heavens.	588578	ستاره های بسیاری در آسمان می درخشیدند.
18345	Seen from the sky, the bridge appears more beautiful.	2178988	اگه از بالا ببینی این پل خیلی قشنگ تر به نظر میاد.
18484	Is there a table available for two on Friday?	915315	آیا میزی برای دو نفر در روز جمعه وجود دارد؟
18491	To make money is not the purpose of life.	773693	پول در آوردن هدف زندگی نیست.
18494	A blonde is speaking to her psychiatrist.	773689	یک زن بلوند با روانپزشکش صحبت می‌کند.
18550	The gold coin was much more valuable than was supposed.	915316	سکه طلا از آنچه که تصور می شد، ارزش بیشتری داشت.
18581	Money ruins many.	1583153	پول بسیاری را فاسد می کند.
18628	Too much money?	915317	پول خیلی زیاد؟
18632	Little money, few friends.	915318	پول کم، دوستان کم.
18637	Money enables you to buy anything.	915319	پول شما را قادر می سازد تا هر چیزی را بخرید.
18640	Prices have been gradually rising in recent years.	915320	قیمت ها به تدریج در طی سالهای اخیر افزایش یافته اند.
18680	I have seen little of him of late.	915321	اخیراً، او را به ندرت دیده ام.
18856	Slight inattention can cause a great disaster.	2166077	کوچک ترین بی توجهی ممکنه به فاجعه ختم بشه
18881	Astonishment deprived me of speech.	912551	از شدت تعجب زبانم بند آمد.
19031	It is the students' duty to clean their classrooms.	696547	این وظیفه دانش آموزان است که کلاسهایشان را تمیز کنند.
19047	Get out of the classroom.	2761300	گمشو از کلاس بیرون.
19094	Let's pass by the church.	634904	بگذار از کنار کلیسا بگذریم.
19180	The strong wind died away at night.	2178984	باد شدید شب قطع شد.
19272	Effectively dealing with competition is an important part of life.	554395	مواجهه‌ی مؤثر با مسئله‌ی رقابت بخش مهمی از زندگی محسوب می‌شود.
19454	Add a little milk.	823718	کمی شیر اضافه کن.
19533	His low salary prevents him from buying the house.	822323	حقوق کم او او را از خانه خریدن باز می دارد.
19627	Suddenly rain began to fall.	644139	ناگهان باران باریدن گرفت.
19640	Hurry, and you will catch the train.	829505	عجله کن، تا به قطار برسی.
19664	Hurry up, or you will be late.	705474	عجله کن، وگرنه دیر خواهی کرد.
19673	Hurry up, and you will be on time.	829004	عجله کن، تا به موقع برسی.
19705	You make mistakes if you do things in a hurry.	2441151	اگر در انجام کار ها عجله کنی، اشنباه می کنی
